dropout	pre_processing_type	conv_layer_1	conv_layer_shape	size	scalar	re_train_on_known_errors	epochs	time	multi_class_zr_acc	multi_class_model_acc	boolean_zr_acc	boolean_model_acc	run number
0.01	None	16	(3, 3)	16	None	1	1	26.175137996673584	0.6242857142857143	0.05285714285714286	0.6242857142857143	0.35	56
0.01	None	16	(3, 3)	16	None	1	2	41.58934473991394	0.6242857142857143	0.24857142857142858	0.6242857142857143	0.5085714285714286	57
0.01	None	16	(3, 3)	16	None	1	4	76.2767813205719	0.6242857142857143	0.35	0.6242857142857143	0.55	58
0.01	None	16	(3, 3)	16	None	1	8	143.6187391281128	0.6242857142857143	0.08571428571428572	0.6242857142857143	0.3757142857142857	59
0.02	None	16	(3, 3)	16	(-1, 1)	0	1	8.687464714050293	0.6242857142857143	0.1	0.6242857142857143	0.37857142857142856	60
0.02	None	16	(3, 3)	16	(-1, 1)	0	2	13.070637226104736	0.6242857142857143	0.2571428571428571	0.6242857142857143	0.5042857142857143	61
0.02	None	16	(3, 3)	16	(-1, 1)	0	4	22.705877542495728	0.6242857142857143	0.14857142857142858	0.6242857142857143	0.4328571428571429	62
0.02	None	16	(3, 3)	16	(-1, 1)	0	8	39.66210699081421	0.6242857142857143	0.22285714285714286	0.6242857142857143	0.4957142857142857	63
0.02	None	16	(3, 3)	16	(-1, 1)	0.3	1	10.485373973846436	0.6242857142857143	0.04428571428571428	0.6242857142857143	0.38571428571428573	64
0.02	None	16	(3, 3)	16	(-1, 1)	0.3	2	17.196738243103027	0.6242857142857143	0.04857142857142857	0.6242857142857143	0.3757142857142857	65
0.02	None	16	(3, 3)	16	(-1, 1)	0.3	4	25.227054357528687	0.6242857142857143	0.16285714285714287	0.6242857142857143	0.46285714285714286	66
0.02	None	16	(3, 3)	16	(-1, 1)	0.3	8	47.588722944259644	0.6242857142857143	0.055714285714285716	0.6242857142857143	0.3842857142857143	67
0.02	None	16	(3, 3)	16	(-1, 1)	0.6	1	18.005053758621216	0.6242857142857143	0.13857142857142857	0.6242857142857143	0.41	68
0.02	None	16	(3, 3)	16	(-1, 1)	0.6	2	24.984319925308228	0.6242857142857143	0.14714285714285713	0.6242857142857143	0.42428571428571427	69
